Reference,Qty,Value,DigikeyPN,LCSC Part,Footprint,DNP,Exclude from BOM,Exclude from Board,Exclude from Position Files,Datasheet,Link
"C1,C3,C9,C11",4,100nF,GCM155R71H104KE02J,C76698,Capacitor_SMD:C_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
"C2,C10,C16",3,1uF,JMK105BJ105KV-F,C29266,Capacitor_SMD:C_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
"C4,C6",2,100nF 50V,GRM155R71H104KE14J,C1581,Capacitor_SMD:C_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
"C5,C18",2,10uF 50V,885012108022,C13585,Capacitor_SMD:C_1206_3216Metric,,,,${EXCLUDE_FROM_POS_FILES},,
C8,1,22nF 50V,GRM155R71H223KA12D,C1532,Capacitor_SMD:C_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
C17,1,22uF,CL21A226KPCLRNC,C29277,Capacitor_SMD:C_0805_2012Metric,,,,${EXCLUDE_FROM_POS_FILES},,
CAN-TERM1,1,MSK12C01G15-W,,C22435664,CANBUS-Stepper:SW-SMD_MSK12C01G15-W,,,,${EXCLUDE_FROM_POS_FILES},https://www.lcsc.com/datasheet/C22435664.pdf,
C_BULK1,1,100uF 35V Low-ESR,EEH-ZK1V101XP,C128464,Capacitor_SMD:C_Elec_6.3x5.8,,,,${EXCLUDE_FROM_POS_FILES},,
D1,1,"PESD1CAN,215",,C15771,EasyEDA:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,,,,${EXCLUDE_FROM_POS_FILES},https://lcsc.com/product-detail/Diodes-ESD_NXP_PESD1CAN_PESD1CAN_C15771.html,
"D5,D8,D9",3,LED,"LTST-C171GKT,LTST-C171KRKT",C2295,LED_SMD:LED_0805_2012Metric,,,,${EXCLUDE_FROM_POS_FILES},,
D6,1,BZX84Cxx,BZX84C12LT1G,C12773,Package_TO_SOT_SMD:SOT-23,,,,${EXCLUDE_FROM_POS_FILES},https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf,
D7,1,MBR0520 (USB Power Diode),MBR0520L,C23848,Diode_SMD:D_SOD-323,,,,${EXCLUDE_FROM_POS_FILES},,
F2,1,1.5A 24V PPTC (1210L150/24WR),2920L330/24MR,C42376298,Fuse:Fuse_1210_3225Metric,,,,${EXCLUDE_FROM_POS_FILES},,
F3,1,500mA 16V PPTC,SMDH0805B050TF,C44606787,Fuse:Fuse_0805_2012Metric,,,,${EXCLUDE_FROM_POS_FILES},,
IC1,1,AS5600-ASOT,  AS5600-ASOT ,C499458,CANBUS-Stepper:AS5600-ASOT,,,,${EXCLUDE_FROM_POS_FILES},,
J1,1,USB_C_Receptacle_USB2.0_16P,UJ20-C-H-G-SMT-4-P16-TR,C165948,CANBUS-Stepper:USB_C_Receptacle_16P,,,,${EXCLUDE_FROM_POS_FILES},https://www.usb.org/sites/default/files/documents/usb_type-c.zip,https://www.e-komponent.com/uj20-c-h-g-smt-4-p16-tr-same-sky-cui-devices-usb-type-c-konnektor
"J3,J4",2,436500209,436500209,C2995529,CANBUS-Stepper:MOLEX_436500209,,,,${EXCLUDE_FROM_POS_FILES},,https://www.digikey.com/en/products/detail/molex/0436500209/3986458
J5,1,AUX Port,SM02B-SRSS-TB,C437064,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,,,${EXCLUDE_FROM_POS_FILES},,
J8,1,Qwiic I2C,SM02B-SRSS-TB,C437064,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,,,${EXCLUDE_FROM_POS_FILES},,
"J10,J11",2,SM02B-SRSS-TB_LF__SN_,SM02B-SRSS-TB,C160402,CANBUS-Stepper:SM02B-SRSS-TB_LF__SN_,,,,${EXCLUDE_FROM_POS_FILES},,"https://www.e-komponent.com/connector-header-sm02b-srss-tb,www.e-komponent.com/connector-header-sm02b-srss-tb"
L1,1,4.7uH,MLZ1608M4R7WT000,C114862,Inductor_SMD:L_0603_1608Metric,,,,${EXCLUDE_FROM_POS_FILES},,
NTC1,1,Thermistor_NTC,NCU18WF104E60RB,C52205399,Resistor_SMD:R_0603_1608Metric,,,,${EXCLUDE_FROM_POS_FILES},,
Q1,1,AON7407,AON7407,C176756,CANBUS-Stepper:AON7407,,,,${EXCLUDE_FROM_POS_FILES},http://www.aosmd.com/res/datasheets/AON7407.pdf,
"R1,R3,R10,R11,R12,R22,R24",7,10k,CRGCQ0402J10K,C100572,Resistor_SMD:R_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
"R2,R8",2,4.7k,RC0402FR-074K7L,C25940,Resistor_SMD:R_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
"R4,R6",2,0.11R,ERJ-8BSFR11V,C82532,Resistor_SMD:R_1206_3216Metric,,,,${EXCLUDE_FROM_POS_FILES},,
"R5,R9,R13,R17",4,1k,RC0402JR-071KL,C100571,Resistor_SMD:R_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
R15,1,100k,CRGCQ0402J100K,C100197,Resistor_SMD:R_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
"R16,R19",2,5.1k,RC0402FR-075K1L,C25905,Resistor_SMD:R_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
R18,1,120R,RC0402JR-07120RL,C100580,Resistor_SMD:R_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
R23,1,40.2k,RC0402FR-0740K2L,C11586,Resistor_SMD:R_0402_1005Metric,,,,${EXCLUDE_FROM_POS_FILES},,
"SW1,SW3",2,LS12T2-T,,C393942,CANBUS-Stepper:KEY-SMD_LS12T2-T,,,,${EXCLUDE_FROM_POS_FILES},https://www.lcsc.com/datasheet/C962552.pdf,
"SW7,SW8",2,SW_MEC_5G,TL3365AF180QG,C668584,CANBUS-Stepper:SW-SMD_4P-L4.2-W3.4-P2.15-LS5.2,,,,${EXCLUDE_FROM_POS_FILES},https://lcsc.com/product-detail/Tactile-Switches_SHOU-HAN-TS3425PA-250gf_C668584.html,
TVS1,1,SMAJ28A,SMAJ28A,C353458,Diode_SMD:D_SMA,,,,${EXCLUDE_FROM_POS_FILES},https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet,
