Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C3, C9",0402,4,100nF,C76698
"C10, C16, C2",0402,3,1uF,C29266
C17,0805,1,22uF,C1532
"C18, C5",1206,2,10uF 50V,C13585
"C4, C6",0402,2,100nF 50V,C1581
C8,0402,1,22nF 50V,C1532
CAN-TERM1,SW-SMD_MSK12C01G15-W,1,MSK12C01G15-W,C22435664
C_BULK1,C_Elec_6.3x5.8,1,100uF 35V Low-ESR,C128464
D1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,"PESD1CAN,215",C15771
"D5, D8, D9",0805,3,LED,C2295
D6,SOT-23,1,BZX84Cxx,C12773
D7,D_SOD-323,1,MBR0520 (USB Power Diode),C23848
F2,1210,1,1.5A 24V PPTC (1210L150/24WR),C42376298
F3,0805,1,500mA 16V PPTC,C44606787
IC1,AS5600-ASOT,1,AS5600-ASOT,C499458
J1,USB_C_Receptacle_16P,1,USB_C_Receptacle_USB2.0_16P,C165948
"J10, J11",SM02B-SRSS-TB_LF__SN_,2,SM02B-SRSS-TB_LF__SN_,C160402
"J3, J4",MOLEX_436500209,2,436500209,C2995529
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,AUX Port,C437064
J8,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Qwiic I2C,C437064
L1,0603,1,4.7uH,C114862
NTC1,0603,1,Thermistor_NTC,C52205399
Q1,AON7407,1,AON7407,C176756
"R1, R10, R11, R12, R22, R24, R3",0402,7,10k,C100572
"R13, R17, R5, R9",0402,4,1k,C100571
R15,0402,1,100k,C100197
"R16, R19",0402,2,5.1k,C25905
R18,0402,1,120R,C100580
"R2, R8",0402,2,4.7k,C25940
R23,0402,1,40.2k,C11586
"R4, R6",1206,2,0.11R,C82532
"SW1, SW3",SW-SMD_2P-TS24CA,2,LS12T2-T,C393942
"SW7, SW8",SW-SMD_4P-L4.2-W3.4-P2.15-LS5.2,2,SW_MEC_5G,C668584
TVS1,D_SMA,1,SMAJ28A,C353458
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,C3013941
U2,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,1,TMC2209-LA,C2150710
U3,CONN-SMD_S4B-PH-SM4-K-TB-LF-SN,1,S4B-PH-SM4-K-TB,C265332
U4,LMR33630CRNXR,1,LMR33630CRNXR,C2071783
U5,WSON-6_L2.0-W2.0-P0.65-TL-EP,1,TLV75533PDRVR,C2861750
U6,TCAN1051VDRBRQ1,1,TCAN1051VDRBRQ1,C2671516
U9,SOT-666,1,USBLC6-2P6,C15999
