Designator,Mid X,Mid Y,Rotation,Layer
C1,152.945,-105.0525,270.0,bottom
C10,159.6,-115.25,90.0,top
C11,157.69,-101.54,90.0,top
C16,153.37,-110.91,270.0,top
C17,159.14,-119.78,270.0,top
C18,136.63,-105.49,270.0,bottom
C2,139.6,-91.71,180.0,top
C3,139.61,-92.67,180.0,top
C4,135.84,-117.76,90.0,top
C5,144.92,-116.78,270.0,top
C6,138.51,-121.32,0.0,top
C8,136.76,-118.02,90.0,top
C9,155.75,-115.27,90.0,top
CAN-TERM1,167.29,-111.92,270.0,bottom
C_BULK1,150.5525,-116.135,180.0,top
D1,163.18,-105.08,0.0,top
D5,168.34,-104.77,90.0,top
D6,134.53,-109.9375,90.0,bottom
D7,160.09,-108.4125,270.0,top
D8,138.82,-90.1,180.0,top
D9,158.22,-90.1,0.0,top
F2,133.59,-105.44,270.0,bottom
F3,158.14,-108.39,270.0,top
IC1,148.5,-105.0,0.0,bottom
J1,166.33,-111.92,90.0,top
J10,130.736,-98.0352,90.0,bottom
J11,166.334,-98.0352,270.0,bottom
J3,131.8,-98.0352,270.0,top
J4,165.2,-98.0352,90.0,top
J5,148.5,-123.0,0.0,bottom
J8,148.5,-123.0,0.0,top
L1,156.64,-117.83,0.0,top
NTC1,138.38,-99.5352,270.0,bottom
Q1,138.665,-104.89,90.0,top
R1,150.75,-110.12,180.0,top
R10,140.08,-95.55,90.0,top
R11,157.02,-92.31,270.0,top
R12,147.27,-110.12,180.0,top
R13,160.42,-90.1,270.0,top
R15,140.08,-97.41,90.0,top
R16,163.74,-112.64,90.0,bottom
R17,136.6,-90.11,270.0,top
R18,157.67,-98.08,270.0,top
R19,163.74,-110.68,270.0,bottom
R2,144.055,-107.667,90.0,bottom
R22,140.16,-107.47,0.0,top
R23,159.06,-117.58,0.0,top
R24,160.08,-116.63,180.0,top
R3,138.89,-101.53,0.0,bottom
R4,139.1,-111.95,90.0,top
R5,166.3,-103.59,0.0,top
R6,142.26,-111.95,90.0,top
R8,146.341,-108.429,0.0,bottom
R9,142.53,-121.33,180.0,top
SW1,157.5,-124.007539,180.0,top
SW3,139.5,-124.007539,180.0,top
SW7,144.5,-107.8,0.0,top
SW8,152.5,-107.8,0.0,top
TVS1,129.98,-106.63,90.0,bottom
U1,148.5,-94.35,0.0,top
U2,140.32,-117.76,0.0,top
U3,132.6125,-110.5,90.0,top
U4,157.69,-115.145,180.0,top
U5,155.64,-110.87,0.0,top
U6,159.23,-104.775,0.0,top
U9,159.53,-111.7375,180.0,top
